"No,Pertanyaan,Fase,Sub-Tag"
"43,Kalau disuruh milih cuaca: hujan rintik-rintik sambil minum hangat atau cerah berawan pas buat aktivitas di luar?,PDKT,Fun"
"44,Sepatu sneakers yang nyaman tapi modelnya biasa aja atau sepatu stylish tapi agak bikin lecet kalau dipakai lama?,PDKT,Random"
"45,Lebih milih telat datang ke acara penting atau datang kepagian tapi nunggu sendirian lama banget?,PDKT,Deep"
"46,Kalau liburan mending ke gunung yang sejuk atau ke pantai yang banyak anginnya?,PDKT,Fun"
"47,Mending kehabisan baterai HP pas lagi di jalan atau kehabisan kuota internet?,PDKT,Random"
"48,Lebih suka chat pakai teks panjang-panjang atau dikit-dikit kirim voice note?,PDKT,Fun"
"49,Kalau lagi ngobrol di chat sering pakai emoji/stiker lucu atau tipe yang ngetik lempeng aja?,PDKT,Fun"
"50,Lebih milih pakai baju warna gelap/monokrom atau warna-warna cerah yang colorful?,PDKT,Random"
"51,Kalau jalan-jalan ke luar kota kamu tipe yang bikin rencana detail atau gimana nanti aja pas nyampe?,PDKT,Fun"
"52,Tempat liburan atau cafe paling berkesan yang pernah kamu datengin sejauh ini?,PDKT,Deep"
"53,Kalau lagi pergi nginep lebih suka cari hotel yang fasilitasnya lengkap atau cobain hotel kapsul/homestay estetik?,PDKT,Fun"
"54,Pernah nyasar di suatu tempat pas lagi bawa kendaraan nggak?,PDKT,Random"
"55,Barang apa yang wajib banget ada di tas kamu (selain HP dan dompet) kalau lagi pergi seharian?,PDKT,Random"
"56,Pernah iseng cobain photobox atau studio foto selfie mandiri bareng temen-temen nggak akhir-akhir ini?,PDKT,Fun"
"57,Kalau disuruh milih satu kota di Indonesia buat kerja remote sebulan kamu pilih kota mana?,PDKT,Deep"
"58,Lebih suka naik kereta api sambil lihat pemandangan darat atau naik pesawat biar cepet sampai tujuan?,PDKT,Fun"
"59,Apa oleh-oleh atau cemilan khas daerah yang paling sering kamu cari?,PDKT,Fun"
"60,Hal sepele apa yang paling sering bikin kamu batalin rencana main padahal udah janjian?,PDKT,Deep"
"61,Tiga kata sifat yang paling pas buat ngegambarin dirimu sendiri pas lagi kumpul sama orang terdekat?,PDKT,Deep"
"62,Apa hal kecil yang paling gampang bikin mood kamu berubah jadi jelek di hari kerja?,PDKT,Deep"
"63,Sebaliknya hal sederhana apa yang paling cepat bikin mood kamu membaik lagi?,PDKT,Fun"
"64,Kamu termasuk orang yang gampang panik atau bisa tetap santai kalau ada kerjaan dadakan?,PDKT,Deep"
"65,Lebih nyaman cerita masalah ke teman dekat dulu atau milih nyari solusinya sendiri dulu?,PDKT,Deep"
"66,Apa satu hal dari caramu bersikap yang sering bikin orang miskomunikasi pas awal kenal?,PDKT,Deep"
"67,Kalau lagi nongkrong di circle baru kamu tipe yang ngajak ngobrol duluan atau nunggu disapa?,PDKT,Fun"
"68,Bentuk apresiasi atau pujian seperti apa yang paling bikin kamu ngerasa dihargai?,PDKT,Deep"
"69,Apa satu kebiasaan unikmu kalau lagi sendirian di kamar yang orang lain jarang tahu?,PDKT,Random"
"70,Seberapa sering kamu tiba-tiba kepikiran hal random sebelum tidur?,PDKT,Random"
"71,Aplikasi apa yang screen time-nya paling tinggi di HP-mu bulan ini?,PDKT,Fun"
"72,Kalau kamu lagi kepo sama suatu berita biasanya nyari infonya di Google Twitter/X atau TikTok?,PDKT,Random"
"73,Pernah nggak sengaja kepencet like di foto lama seseorang pas lagi stalking sosmednya?,PDKT,Random"
"74,Lebih suka main Instagram buat rajin update story atau milih jadi silent reader aja?,PDKT,Fun"
"75,Kamu tipe yang kalau dichat balesnya detik itu juga (fast response) atau dibaca dulu lewat notif baru dibales nanti?,PDKT,Fun"
"76,Menurutmu kehadiran AI sekarang ini ngebantu banget kerjamu atau malah kadang bikin ribet?,PDKT,Deep"
"77,Seberapa sering kamu mengarsipkan (archive) atau nge-mute chat grup biar nggak berisik?,PDKT,Random"
"78,Kalau ditantang buat puasa buka sosial media seminggu penuh kira-kira kamu sanggup nggak?,PDKT,Random"
"79,Ada konten atau video viral lucu akhir-akhir ini yang sukses bikin kamu ngakak nggak?,PDKT,Fun"
"80,Punya second account atau tempat rahasia khusus buat repost hal-hal random yang kamu suka?,PDKT,Random"
"81,Menurutmu apa sifat terpenting yang bikin kamu ngerasa nyambung banget sama teman atau pasangan?,PDKT,Deep"
"82,Sikap seperti apa yang paling gampang bikin kamu ngerasa ilfeel di kencan pertama?,PDKT,Deep"
"83,Percaya sama kekuatan first impression nggak? Atau milih kenal lebih lama dulu baru menilai?,PDKT,Deep"
"84,Kalau lagi beda pendapat lebih suka langsung diselesain saat itu juga atau kasih waktu tenang dulu masing-masing?,PDKT,Deep"
"85,Menurutmu wajar nggak sih kalau orang tetap temenan baik sama mantannya?,PDKT,Deep"
"86,Kalau lagi PDKT kamu lebih suka cepet-cepet ketemuan langsung atau chatting intens dulu buat mastiin nyambung?,PDKT,Fun"
"87,Bentuk perhatian sepele kayak apa yang menurutmu sweet banget kalau dilakuin seseorang ke kamu?,PDKT,Deep"
"88,Kalau lagi jalan berdua lebih suka obrolan santai yang banyak bercandanya atau obrolan mendalam (deep talk) soal hidup?,PDKT,Deep"
"89,Lebih luluh sama kalimat manis (words of affirmation) atau bantuan langsung yang diam-diam dilakuin (act of service)?,PDKT,Deep"
"90,Seberapa penting kecocokan selera tempat nongkrong dalam sebuah pendekatan menurutmu?,PDKT,Deep"
"91,Kalau kamu dapet rezeki nomplok hari ini apa barang pertama yang bakal langsung kamu checkout?,PDKT,Random"
"92,Ada skill atau kursus baru yang lagi pengen banget kamu ikutin dalam waktu dekat?,PDKT,Deep"
"93,Kalau hari ini adalah hari terakhir di minggu kerja yang berat apa reward kecil yang mau kamu kasih buat dirimu sendiri?,PDKT,Fun"
"94,Apa satu pertanyaan yang dari tadi pengen banget kamu tanyain balik ke aku tapi belum sempat?,PDKT,Deep"
"95,Kalau kita janjian ketemuan buat ngopi weekend ini kriteria cafe yang ideal buatmu itu yang kayak gimana?,PDKT,Fun"
"96,Dari skala 1-10 seberapa sering kamu iseng nyari info tentang background aku sebelum kita asik ngobrol kayak sekarang?,PDKT,Random"
"97,Menurutmu dari gaya ngobrolku aku ini tipe orang yang aslinya serius banget atau santai?,PDKT,Fun"
"98,Kalau obrolan kita dari tadi diibaratkan cuaca kita lagi di fase mendung cerah atau berangin sejuk?,PDKT,Fun"
"99,Coba tebak dari semua jawabanmu tadi mana yang paling bikin aku ngerasa Wah kita mirip nih?,PDKT,Fun"
"100,Dari 99 pertanyaan di atas topik mana yang paling pengen kamu eksplorasi lebih jauh bareng aku?,PDKT,Deep"
"101,Masih inget nggak momen exact kapan kamu ngerasa Wah aku suka nih sama dia?,Pacaran,Deep"
"102,Kalau hubungan kita dibikin skor kayak competitiveness ranking kita unggul di indikator apa?,Pacaran,Random"
"103,What if aku tiba-tiba botak besok kamu bakal tetep sayang atau ketawa dulu seharian?,Pacaran,Fun"
"104,Apa hal dari aku yang awalnya kamu kira A ternyata aslinya B banget?,Pacaran,Deep"
"105,Mending kita nyasar bareng di jalanan kota pas jam pulang kerja atau nyasar di gunung?,Pacaran,Random"
"106,Kalau kita disuruh bikin game bareng genrenya apa dan siapa yang jadi boss terakhirnya?,Pacaran,Random"
"107,Sebutkan 3 hal kecil yang aku lakuin yang tanpa sadar bikin kamu senyum sendiri!,Pacaran,Deep"
"108,Kalau kita ikut Amazing Race kita bakal kalah di tantangan yang kayak gimana?,Pacaran,Fun"
"109,Menurutmu ngurusin pernikahan tuh lebih bikin pusing milih catering atau nyusun daftar tamu?,Pacaran,Deep"
"110,Would you rather: Punya mertua yang super kepo tapi baik banget atau cuek banget tapi pelit?,Pacaran,Random"
"111,Apa kebiasaan anehku yang sekarang malah jadi hal yang kamu kangenin kalau kita nggak ketemu?,Pacaran,Deep"
"112,Kalau aku tiba-tiba berubah jadi kucing peliharaan kamu bakal kasih aku makan wet food premium atau dry food kiloan?,Pacaran,Random"
"113,Mari berkhayal: Kalau kita punya budget tak terbatas buat bikin rumah impian ruangan apa yang paling gede?,Pacaran,Fun"
"114,Apa topik yang menurutmu masih susah buat kita obrolin secara terbuka?,Pacaran,Deep"
"115,What if kita berdua diculik alien alasan apa yang bakal kamu pakai biar kita dilepasin?,Pacaran,Random"
"116,Kalau kita bikin aplikasi keuangan bareng buat mantau pengeluaran pacaran siapa yang bakal jadi tukang ngomel kalau overbudget?,Pacaran,Fun"
"117,Apa memori date kita yang paling sering kamu putar ulang di kepala?,Pacaran,Deep"
"118,Menurutmu apa satu sifatku yang paling menyeimbangkan sifatmu?,Pacaran,Deep"
"119,Would you rather: Kita LDR beda benua selama setahun atau ketemu tiap hari tapi selalu berantem kecil soal makan apa?,Pacaran,Random"
"120,Kalau ada film dokumenter tentang hubungan kita apa judulnya?,Pacaran,Fun"
"121,Kalau suatu saat kita lagi berantem hebat apa satu hal yang harus aku lakuin biar kamu luluh?,Pacaran,Deep"
"122,Lebih milih staycation di hotel kapsul yang estetik atau glamping di tengah alam?,Pacaran,Fun"
"123,Apa hal yang menurutmu jadi kekuatan super kita berdua kalau lagi kerja sama?,Pacaran,Deep"
"124,Kalau aku lagi bad mood parah makanan apa yang paling cepat bikin aku seneng lagi?,Pacaran,Fun"
"125,Coba deskripsikan aku pakai 3 kata waktu pertama kenal dan 3 kata untuk sekarang!,Pacaran,Deep"
"126,What if suatu hari karirku mengharuskan kita pindah ke luar pulau apa pertimbangan utamamu?,Pacaran,Deep"
"127,Apa ketakutan terbesarmu soal komitmen masa depan?,Pacaran,Deep"
"128,Kalau kita lagi di supermarket barang apa yang pasti bikin kita berantem buat dimasukin ke keranjang?,Pacaran,Fun"
"129,Seandainya kamu punya tombol ajaib buat nge-mute aku pas lagi cerewet bakal sering kamu pakai nggak?,Pacaran,Random"
"130,Menurutmu kita ini lebih mirip partner in crime atau Tom & Jerry?,Pacaran,Fun"
"131,Apa satu kebiasaan burukmu yang lagi kamu usahain hilang demi hubungan ini?,Pacaran,Deep"
"132,Would you rather: Lupa hari anniversary tapi inget ulang tahun atau lupa ulang tahun tapi anniversary dirayain mewah?,Pacaran,Random"
"133,Kalau kita bisa kembali ke satu hari di masa lalu kita dan mengulangnya hari apa itu?,Pacaran,Deep"
"134,Apa ekspektasimu soal pembagian tugas rumah tangga nanti kalau kita udah tinggal bareng?,Pacaran,Deep"
"135,What if keluarga kita ternyata nggak terlalu cocok satu sama lain gimana cara kita nengahinnya?,Pacaran,Deep"
"136,Kalau kamu disuruh bikin silabus Cara Memahami Kamu 101 apa materi Bab 1-nya?,Pacaran,Fun"
"137,Sebutkan satu hal yang aku pelajari dari kamu sejak kita bareng!,Pacaran,Deep"
"138,Lebih milih ngelewatin krisis finansial bareng atau krisis kepercayaan (tapi ujungnya selesai)?,Pacaran,Deep"
"139,Menurutmu apa indikator paling jelas kalau kita tuh udah mulai bosan dan butuh liburan bareng?,Pacaran,Deep"
"140,Kalau aku tiba-tiba mutusin resign dan bikin startup dari nol kamu bakal dukung atau panik duluan?,Pacaran,Deep"
"141,Apa hal terbodoh yang pernah kita ketawain bareng sampai perut sakit?,Pacaran,Fun"
"142,Would you rather: Selalu pakai baju couple ke mana-mana atau nggak pernah boleh post foto berdua di sosmed?,Pacaran,Random"
"143,Kalau kita dikasih waktu 48 jam buat bikin project kolaborasi kita bakal bikin apa?,Pacaran,Random"
"144,Apa pendapatmu soal punya tabungan bersama sebelum menikah?,Pacaran,Deep"
"145,What if anak kita nanti sifatnya plek-ketiplek kayak aku kamu bakal stres atau bangga?,Pacaran,Random"
"146,Kalau hubungan kita diibaratkan portofolio investasi kita ini tipe yang high risk-high return atau slow but steady?,Pacaran,Deep"
"147,Menurutmu love language mana dari aku yang paling kerasa efeknya buat kamu?,Pacaran,Deep"
"148,Apa kebohongan putih (white lie) yang pernah kamu bilang ke aku demi ngejaga perasaanku?,Pacaran,Deep"
"149,Kalau lagi stres kerjaan kamu lebih suka aku kasih solusi atau cuma dengerin aja sambil nyuapin makanan?,Pacaran,Fun"
"150,Would you rather: Kita ngadopsi 5 kucing sekaligus atau nggak boleh pelihara hewan seumur hidup?,Pacaran,Random"
"151,Apa tradisi unik yang pengen banget kamu ciptakan di keluarga kecil kita nanti?,Pacaran,Deep"
"152,Kalau kita terdampar di pulau terpencil siapa yang bakal nangis duluan dan siapa yang bikin api?,Pacaran,Random"
"153,Sebutkan satu hal yang aku suka banget padahal menurutmu itu aneh!,Pacaran,Fun"
"154,Gimana caramu tahu kalau aku lagi marah padahal aku billing nggak apa-apa?,Pacaran,Deep"
"155,What if mantan dari masa lalu tiba-tiba reach out buat minta maaf apa reaksimu dan harapanmu ke aku?,Pacaran,Deep"
"156,Menurutmu batas antara cemburu wajar dan cemburu toxic di hubungan kita itu di mana?,Pacaran,Deep"
"157,Kalau dikasih kesempatan buat hapus satu memori buruk selama kita pacaran apa yang kamu hapus?,Pacaran,Deep"
"158,Lebih suka kita diskusi soal masa depan pas lagi makan malam romantis atau pas lagi random rebahan?,Pacaran,Fun"
"159,Apa resolusi terbesarmu untuk dirimu sendiri sebelum kita melangkah ke jenjang selanjutnya?,Pacaran,Deep"
"160,Would you rather: Punya mertua yang beda pandangan politik atau beda selera humor banget?,Pacaran,Random"
"161,Kalau cinta kita itu baterai HP menurutmu sekarang persentasenya ada di angka berapa?,Pacaran,Random"
"162,Menurutmu siapa dari kita yang lebih gampang panik kalau ada keadaan darurat?,Pacaran,Fun"
"163,Apa satu skill yang kamu harap aku punya biar hidup kita lebih gampang?,Pacaran,Deep"
"164,Kalau kamu bisa pinjem otakku selama sehari apa yang mau kamu lihat duluan?,Pacaran,Random"
"165,What if kita berdua dipaksa ikut audisi nyanyi berdua lagu apa yang paling aman kita bawain?,Pacaran,Fun"
"166,Apa hal yang paling bikin kamu bersyukur punya aku di saat kondisi lagi down?,Pacaran,Deep"
"167,Menurutmu kalau nanti kita nikah siapa yang bakal lebih dominan ngatur dekorasi rumah?,Pacaran,Fun"
"168,Would you rather: Aku jago banget masak tapi nggak mau nyuci piring atau aku selalu beresin rumah tapi kita selalu beli makan di luar?,Pacaran,Random"
"169,Kalau hubungan kita punya soundtrack resmi lagu apa yang jadi main theme-nya?,Pacaran,Fun"
"170,Apa hal yang paling sering bikin kita beda pendapat tapi ujung-ujungnya bikin kita makin ngerti satu sama lain?,Pacaran,Deep"
"171,Pernah ngerasa insecure sama mantanku nggak?,Pacaran,Deep"
"172,Kalau kita lagi main game co-op kamu tipe yang support aku atau yang maju duluan ninggalin aku?,Pacaran,Random"
"173,Seberapa penting arti me time buat kamu waktu kita udah komitmen penuh nanti?,Pacaran,Deep"
"174,What if salah satu dari kita tiba-tiba hilang ingatan apa memori pertama yang mau kamu ceritain biar aku ingat kamu?,Pacaran,Deep"
"175,Menurutmu apa mengelola konflik kita sekarang udah cukup dewasa atau masih ada yang gaya bocah?,Pacaran,Deep"
"176,Kalau disuruh ngulang masa PDKT kita ada yang mau kamu ganti strateginya nggak?,Pacaran,Fun"
"177,Mending ngabisin uang tabungan nikah buat resepsi mewah sehari atau buat DP rumah dan honeymoon sebulan?,Pacaran,Deep"
"178,Apa pet name (panggilan sayang) paling alay yang sebenernya pengen kamu pakai tapi malu?,Pacaran,Fun"
"179,Kalau disuruh milih mending kita selalu sehati milih tempat makan tapi beda selera film atau sehati soal film tapi selalu ribut mau makan di mana?,Pacaran,Random"
"180,Apa yang bikin kamu yakin kalau aku ini the one?,Pacaran,Deep"
"181,Would you rather: Mengetahui masa depanku secara detail atau biarkan semuanya jadi kejutan?,Pacaran,Random"
"182,Kalau aku ngilang seharian nggak ada kabar skenario terburuk apa yang ada di kepalamu?,Pacaran,Deep"
"183,Apa kebiasaanku di sosmed yang diam-diam bikin kamu bangga?,Pacaran,Fun"
"184,Kalau kita harus mendefinisikan ulang aturan dating kita bulan ini aturan baru apa yang mau ditambah?,Pacaran,Fun"
"185,What if besok kita menang lotre 10 Miliar masih mau kerja kantoran atau langsung pensiun dini buka usaha?,Pacaran,Random"
"186,Apa hal yang menurutmu paling aku banget yang nggak bisa ditiru orang lain?,Pacaran,Deep"
"187,Lebih milih punya pasangan yang karirnya stabil tapi sibuk banget atau karirnya biasa aja tapi selalu ada waktu?,Pacaran,Deep"
"188,Menurutmu siapa yang bakal jadi good cop dan bad cop kalau kita punya anak nanti?,Pacaran,Fun"
"189,Kalau disuruh menilai caraku ngatur emosi dari 1-10 ada di angka berapa?,Pacaran,Deep"
"190,Would you rather: Kita berdua bisa baca pikiran satu sama lain selama seminggu atau nggak bisa ngomong dan cuma pakai bahasa isyarat seminggu?,Pacaran,Random"
"191,Apa janji masa depan yang paling pengen kamu penuhi buat aku?,Pacaran,Deep"
"192,Kalau kita time travel ke masa depan 10 tahun dari sekarang kamu harap kita lagi ngapain pas dilihat?,Pacaran,Deep"
"193,Menurutmu apa satu kata yang menggambarkan cara kita nyelesaiin masalah?,Pacaran,Deep"
"194,What if aku besok tiba-tiba resign tanpa rencana apa kalimat pertamamu?,Pacaran,Deep"
"195,Apa hadiah pemberianku yang paling kamu simpan rapi sampai sekarang?,Pacaran,Fun"
"196,Kalau kita harus pindah ke negara yang bahasanya nggak kita ngerti sama sekali kita bakal survive nggak?,Pacaran,Random"
"197,Menurutmu apa tantangan terbesar kita dalam 1 tahun ke depan?,Pacaran,Deep"
"198,Mending kamu yang glow up sendirian atau kita berdua glow up tapi butuh waktu 5 tahun?,Pacaran,Fun"
"199,Apa rahasia kecilmu yang baru sekarang kamu mau ceritain ke aku?,Pacaran,Random"
"200,Dari semua fase yang udah kita lewatin fase mana yang bikin kamu paling jatuh cinta?,Pacaran,Deep"
"201,Hari ini apa satu hal kecil yang bikin kamu senyum di tengah pusingnya kerjaan kantoran?,Menikah,Deep"
"202,Kalau kementerian rumah tangga kita bikin kebijakan baru bulan ini kebijakan apa yang harus disahkan?,Menikah,Fun"
"203,What if nanti kalau udah tua kita dua-duanya pelupa siapa yang bakal ngingetin jadwal minum obat?,Menikah,Random"
"204,Coba kasih rating 1-10 buat performance aku sebagai pasangan hidup minggu ini dan apa evaluasinya?,Menikah,Deep"
"205,Sebutkan satu hal dari masa pacaran kita yang pengen kamu bawa lagi ke rutinitas kita sekarang!,Menikah,Fun"
"206,Kalau kucing peliharaan kita bisa nulis laporan harian tentang kita kira-kira apa isi laporannya hari ini?,Menikah,Random"
"207,Would you rather: Kita tua nanti jadi kakek nenek yang fashionable banget atau yang sporty suka mendaki gunung?,Menikah,Fun"
"208,Apa yang paling bikin kamu bersyukur pas kamu buka mata di sebelahku pagi ini?,Menikah,Deep"
"209,Kalau disuruh kabur dari rutinitas selama 24 jam tanpa gadget kamu mau ngajak aku ke mana?,Menikah,Fun"
"210,Menurutmu kita ini sekarang lagi ada di bab judul apa di buku pernikahan kita?,Menikah,Deep"
"211,Kalau ada penghargaan Pasangan Paling Sabar Abad Ini kira-kira kita menang nominasi apa?,Menikah,Fun"
"212,Coba jujur seberapa sering kamu pura-pura tidur pas aku minta tolong ambilin minum malam-malam?,Menikah,Random"
"213,What if kita pensiun besok kamu mau kita tinggal di tengah kota yang cerdas atau desa pinggir laut yang tenang?,Menikah,Deep"
"214,Apa kebiasaan ngorok/tidurku yang diam-diam bikin kamu ketawa atau malah pengen nutup pakai bantal?,Menikah,Random"
"215,Kalau kita disuruh bikin database memori indah kita kejadian apa yang jadi row nomor satu?,Menikah,Deep"
"216,Menurutmu cara kita quality time sekarang udah cukup atau perlu di-inovasi lagi?,Menikah,Deep"
"217,Would you rather: Selalu berdebat tiap nentuin menu makan malam atau makan menu yang sama tiap hari selama setahun?,Menikah,Random"
"218,Apa satu hal yang kamu harap aku lebih peka tanpa kamu harus ngomong duluan?,Menikah,Deep"
"219,Kalau aku tiba-tiba pengen ikut kelas merajut atau bikin keramik kamu mau ikutan nemenin nggak?,Menikah,Fun"
"220,Sebutkan momen di minggu ini yang bikin kamu ngerasa gila aku sayang banget sama dia!,Menikah,Deep"
"221,Apa fantasi liarmu soal project renovasi rumah kita nanti?,Menikah,Fun"
"222,Kalau nanti kita udah keriput apa panggilan sayang yang cocok buat kita?,Menikah,Fun"
"223,What if ada mesin waktu dan kamu bisa ngelihat anak/cucu kita 50 tahun lagi mau lihat nggak?,Menikah,Random"
"224,Menurutmu beban kerja atau beban pekerjaan rumah yang paling sering memicu emosi akhir-akhir ini? Gimana kita perbaikinya?,Menikah,Deep"
"225,Apa godaan terbesar dalam menjaga komunikasi kita pas lagi sama-sama repot?,Menikah,Deep"
"226,Would you rather: Gaji bulanan kita dikelola AI secara otomatis atau kita hitung bareng manual pakai Excel sambil ngopi?,Menikah,Random"
"227,Kalau aku tiba-tiba ngerasa kehilangan spark di hubungan kita apa jurus rahasiamu buat nyalain lagi?,Menikah,Deep"
"228,Menurutmu kebiasaan ngirit atau kebiasaan boros siapa yang paling berdampak ke dompet keluarga sekarang?,Menikah,Deep"
"229,Hal apa dari caraku ngurus rumah yang sering kamu puji diam-diam di dalam hati?,Menikah,Fun"
"230,Kalau kamu dapet jatah cuti panjang di luar tanggungan mau pakai buat keliling dunia berdua atau leyeh-leyeh di rumah sebulan penuh?,Menikah,Fun"
"231,What if kita harus pindah profesi jadi petani siapa yang nyangkul dan siapa yang jual hasil panennya?,Menikah,Random"
"232,Apa kecemasanmu soal masa depan keluarga kita yang belum pernah kamu ceritain?,Menikah,Deep"
"233,Kalau disuruh mendeskripsikan rumah kita tanpa menyebut bangunan fisik kamu bilangnya apa?,Menikah,Deep"
"234,Coba tebak apa yang lagi aku pikirin sekarang dari tatapan mataku?,Menikah,Fun"
"235,Would you rather: Hubungan ranjang kita biasa aja tapi ngobrolnya nyambung banget atau sebaliknya?,Menikah,Deep"
"236,Sebutkan satu hal yang aku korbankan buat hubungan ini yang bikin kamu sangat menghargainya?,Menikah,Deep"
"237,Kalau nanti kita jadi kakek-nenek kamu mau kita dipanggil apa sama cucu?,Menikah,Fun"
"238,Apa topik obrolan yang menurutmu paling asik pas kita lagi di mobil/perjalanan jauh?,Menikah,Fun"
"239,What if kita diundang masuk podcast pernikahan apa tips utama yang bakal kita kasih ke pasangan muda?,Menikah,Deep"
"240,Kalau disuruh roleplay jadi orang asing yang baru kenal di bar/cafe kamu mau pakai nama samaran siapa malam ini?,Menikah,Random"
"241,Menurutmu apa satu kata sifat yang paling menggambarkan Kita saat ini?,Menikah,Deep"
"242,Apa hal yang paling menyebalkan tapi lucunya minta ampun yang terjadi di rumah minggu ini?,Menikah,Fun"
"243,Would you rather: Bangun pagi selalu disiapin sarapan tapi rumah berantakan atau rumah rapi terus tapi harus selalu masak sendiri?,Menikah,Random"
"244,Kalau aku lagi burnout parah sama kerjaan/rutinitas tolong ingetin aku tentang apa?,Menikah,Deep"
"245,Apa pencapaian kecil di keluarga kita bulan ini yang patut kita rayain pakai pizza?,Menikah,Fun"
"246,Menurutmu di usia pernikahan ke-10 nanti kita bakal sibuk ngurusin apa?,Menikah,Deep"
"247,What if ada aturan suami istri wajib punya hobi bareng hobi apa yang paling masuk akal buat kita?,Menikah,Fun"
"248,Seandainya kamu bisa hire asisten robot buat ngerjain satu tugas rumah seumur hidup tugas apa yang diserahkan?,Menikah,Random"
"249,Apa hal romantis paling sederhana yang pernah aku lakuin tapi nempel terus di ingatanmu?,Menikah,Deep"
"250,Kalau hubungan kita butuh di-update versinya kayak software fitur apa yang ada di patch terbaru ini?,Menikah,Random"
"251,Menurutmu siapa yang bakal lebih jago ngajarin PR matematika anak nanti?,Menikah,Fun"
