Category,Question,Acknowledge_Template,Relate_Template,Ask_Template
Occupation,"Kamu di Kantor punya ""julukan"" atau panggilan tertentu ga dari temen-temen kantor ?","Hahaha unik banget! Pantesan dipanggil [julukan lawan bicara], emang ada-ada aja kelakuan temen kantor.",Kalau aku di kantor biasanya dipanggil [julukan versi kamu] gara-gara sering [alasan/kebiasaan kamu].,Awal mulanya panggilan itu melekat banget sejak kapan sih? Pas momen apa?
Occupation,"Kalau disuruh cari 1 kata yang menggambarkan kantor kamu banget, kata apa dan kenapa ?",Menarik banget kata '[kata dari lawan bicara]' buat gambarin kantor. Alasannya masuk akal sih...,"Kalau aku disuruh milih 1 kata buat kantorku, kata yang paling pas itu '[kata versi kamu]' soalnya lingkungannya emang [alasan singkat kamu].",Kira-kira temen-temen sekantormu bakal setuju nggak kalau dikasih kata yang sama?
Recreation,"Kamu kalau weekend biasanya ngapain aja atau kemana, tipe yang di kos/rumah aja atau yang punya aktivitas ke luar juga ?","Seru tuh, emang jadi tim [tipe lawan bicara] pas weekend itu bener-bener cara terbaik buat recharge energi.","Kalau aku tipe yang lebih suka [tipe kamu, misal: maraton film di kos/hunting kafe baru] karena ngerasa lebih bisa nikmatin waktu.",Weekend besok udah ada rencana atau agenda khusus yang mau dilakuin belum?
Recreation,Genre musik atau judul musik apa yang lagi into banget atau sering kamu dengerin berulang belakangan ini ?,"Wah, lagu/genre [genre dari cerita] emang enak banget sih didengerin, apalagi pas lagi [suasana, misal: santai/kerja]...",Kalau aku belakangan ini lagi sering muter lagu-lagunya [musisi/genre versi kamu] berulang-ulang pas lagi [aktivitas kamu].,Ada satu lagu spesifik dari mereka gaa yang menurutmu wajib banget aku dengerin sekarang?
Recreation,"Sejauh ini, apa tempat liburan yang paling berkesan yang pernah kamu datengin ?",Keren banget! Tempat kayak [tempat dari cerita] emang terkenal punya vibes yang luar biasa banget sih.,Sejauh ini tempat liburan yang paling nempel di ingatan aku itu pas ke [tempat versi kamu] gara-gara suasananya yang [kesan kamu].,"Kalau dikasih kesempatan buat balik ke sana lagi gratis, kamu bakal langsung berangkat atau cari tempat baru dulu?"
Recreation,Apa rekomendasi makanan yang menurut kamu paling enak worth it buat dicobain sama orang-orang ?,"Aduh denger ceritanya aja udah langsung bikin laper, emang [makanan dari cerita] itu ga pernah gagal ya...","Kalau dari aku pribadi, makanan yang paling worth it dan wajib dicoba itu [makanan versi kamu] di daerah [lokasi/nama tempat].",Biasanya kalau makan itu paling pas dipaduin sama minuman apa atau pas cuaca kayak gimana?
Recreation,"Apa film, serial, atau buku terakhir yang saking bagusnya sampai bikin kamu kepikiran terus akhir-akhir ini?","Wah plotnya emang juara sih, pantesan karya kayak [judul dari cerita] bisa bikin kepikiran terus...","Terakhir kali aku ngerasain hal mirip pas abis nonton/baca [judul versi kamu], saking bagusnya ending-nya sampai bikin aku bengong semalaman.",Menurutmu bagian mana dari cerita itu yang paling mind-blowing atau ngena banget di hati?
Recreation,Apa film atau lagu atau buku yang sejauh ini berhasil ngerubah perspektif kamu soal sesuatu ?,Dalem banget ya maknanya. Karya yang bagus emang harusnya bisa bikin kita mikir ulang kayak gitu...,"Kalo aku, salah satu karya yang bener-bener ngerubah pandanganku soal [topik] itu [judul karya versi kamu] gara-gara pesannya yang bilang kalau [pesan singkat].","Setelah dapet perspektif baru itu, ada gaa kebiasaan sehari-hari kamu yang ikut berubah?"
Recreation,Aktivitas apa yang pengen banget kamu lakuin tapi sampai sekarang belum kesampean ?,Wah seru banget itu! Semoga bisa cepet kesampaian ya buat nyobain [aktivitas dari cerita]...,"Kalau aku dari dulu pengen banget bisa [aktivitas versi kamu], tapi sampai sekarang masih ketunda gara-gara [alasan, misal: belum ada waktu/modal].",Kira-kira apa langkah kecil pertama yang mau kamu ambil dalam waktu dekat biar rencana itu bisa mulai jalan?
Recreation,"Kalau tiba-tiiba dikasih libur panjang nih dari kantor, tempat apa yang paling pengen kamu kunjungin ?",Mantap pilihan tempatnya! Emang paling pas buat pelarian dari penatnya urusan kantor...,"Kalau tiba-tiba dapet libur panjang, aku bakal langsung packing baju buat berangkat ke [tempat versi kamu] biar bisa [aktivitas santai versi kamu].","Kalau pergi ke sana, kamu lebih milih buat jalan-jalan santai sendirian (solo traveling) atau bareng orang terdekat?"
Dreams,Apa negara atau kota impian yang masuk ke dalam bucket-list buat kamu kunjungin dan kenapa ?,Pilihan yang indah banget! Kota/negara [tempat dari cerita] emang punya daya tarik tersendiri yang bikin penasaran...,"Kalau aku, salah satu tempat teratas di bucket-list-ku itu [tempat versi kamu] karena pengen banget ngerasain langsung [hal yang dicari versi kamu].",Kira-kira targetnya dalam berapa tahun ke depan nih biar impian ke sana bisa terwujud?
Dreams,"Kalau semisal uang tidak lagi penting, pekerjaan impian apa yang akan kamu ambil ?",Seru banget! Pekerjaan kayak [pekerjaan dari cerita] emang kedengerannya tenang dan bikin happy ya kalau dijalanin tanpa beban keuangan...,"Kalau uang bukan lagi masalah, aku bakal milih buat jadi seorang [pekerjaan versi kamu] biar bisa bebas [tujuan/alasan kamu].",Apa sih hal utama yang bikin kamu ngerasa tertarik banget sama bidang/pekerjaan itu?
Dreams,Apa cita-cita atau impian pas waktu kamu SD yang kalau diingat-ingat sekarang malah bikin ketawa,Hahaha lucu banget! Imajinasi anak kecil pas SD emang polos banget ya sampai kepikiran pengen jadi [cita-cita dari cerita]...,Dulu pas SD aku malah sempat punya cita-cita random pengen jadi [cita-cita versi kamu] gara-gara sering nonton/liat [alasan lucu kamu].,"Kalau diingat-ingat sekarang, kira-kira kapan sih momen pas kamu mulai sadar kalau cita-cita itu ga masuk akal?"
Dreams,Hal baik apa saja yang kamu harapkan dapat terwujud dalam 1 minggu ke depan ?,Semoga semua rencananya lancar dan hal baik tentang [hal baik dari cerita] itu bisa bener-bener terwujud ya minggu depan!,"Kalau harapan pendekku buat minggu depan sih simpel, semoga [harapan versi kamu] bisa beres tanpa ada kendala.","Biar itu bisa terwujud, ada persiapan khusus gaa yang perlu kamu lakuin mulai hari ini?"
Dreams,Ada ga sih film atau konser yang lagi kamu tunggu-tunggu banget buat rilis/show di Indonesia ?,"Wah iya, itu emang lagi rame banget dibahas! Antusiasme orang-orang buat nungguin [film/konser dari cerita] emang tinggi banget.","Kalau aku pribadi lagi nungguin banget [film/konser/show versi kamu], saking gak sabarnya aku sampai sering mantau update tiketnya.","Biasanya kamu tipe yang harus nonton di hari pertama rilis/presale, atau nunggu suasana agak sepi dulu baru nonton?"
Dreams,"Kalau kamu bisa bertukar kehidupan dengan satu tokoh fiksi, kamu pengen jadi siapa ?",Seru banget pasti! Kehidupan tokoh [tokoh fiksi dari cerita] emang keliatan penuh petualangan/nyaman banget...,"Kalau aku dikasih kesempatan itu, aku pengen bertukar nasib sama [tokoh fiksi versi kamu] biar bisa ngerasain tinggal di dunia yang [suasana dunia fiksi tersebut].","Dari sekian banyak kekuatan atau fasilitas yang dipunya tokoh itu, apa satu hal yang paling pengen kamu cobain pertama kali?"
Dreams,"Kalau ada orang yang pengen nulisin biografi kamu 5 tahun ke depan, apa satu hal yang menurut kamu wajib ada di buku itu ?","Keren, bab tentang [hal wajib dari cerita] itu emang bakal jadi bagian cerita perjuangan hidup yang inspiratif banget sih.","Kalau kisah hidupku dibikin biografi, hal yang wajib banget masuk itu momen pas aku berhasil [pencapaian/perubahan hidup versi kamu] demi [tujuan kamu].","Kira-kira kalau buku itu beneran terbit, siapa orang pertama yang paling pengen kamu kasih salinan bukunya?"
Dreams,"Kalau kamu tiba-tiba jadi presiden, apa kebijakan lucu-lucu yang bakal kamu buat ?",Hahaha jenius sih! Kebijakan [kebijakan lucu dari cerita] pasti bakal bikin masyarakat langsung heboh tapi seneng.,"Kalau aku yang jadi presiden dadakan, kebijakan lucu pertamaku adalah mewajibkan [kebijakan lucu versi kamu] setiap hari Jumat biar warganya ga gampang stres.",Kira-kira menteri mana nih yang bakal paling pusing buat ngurusin kebijakan lucu kamu itu?
